survey_date,panel,concept,pctl25,pctl50,pctl75,source,file_url,local_path,pdf_page,notes
2011-01-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-January_result.pdf,data_raw/2011-January_result.pdf,,"No table/question in this PDF reports a 'Longer Run' federal funds rate target with percentiles; the document includes near-term policy rate expectations through 2012 and other items, but not a 'Longer Run' column (nor a '10-yr Average FF Rate' column) for the federal funds rate."
2011-03-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-March_result.pdf,data_raw/2011-March_result.pdf,,No table/question in this PDF reports a 'Longer Run' federal funds rate target (nor a '10-yr Average FF Rate' column). The document contains near-term/quarterly fed funds expectations and SOMA-related questions only.
2011-04-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-April_result.pdf,data_raw/2011-April_result.pdf,,"Longer Run federal funds rate target percentiles table/column not present in this PDF (it contains quarterly fed funds target/range forecasts through Q1 2013, but no 'Longer Run' vs '10-yr Average FF Rate' table)."
2011-06-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-June_result.pdf,data_raw/2011-June_result.pdf,,No table/column labeled 'Longer Run' (or '10-yr Average FF Rate') appears in this PDF; it contains near-term policy expectations and quarterly fed funds target/range forecasts only.
2011-08-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-August_result.pdf,data_raw/2011-August_result.pdf,,"No table/question with a 'Longer Run' federal funds rate column is present in this PDF (it contains near-term policy expectations, SOMA/reserves, and inflation/CPI long-run expectations, but not longer-run fed funds rate percentiles)."
2011-09-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-September_result.pdf,data_raw/2011-September_result.pdf,,No table/question in this PDF reports a 'Longer Run' federal funds rate target (or a '10-yr Average FF Rate' vs 'Longer Run' column). The document contains near-term policy expectations and other forecasts only.
2011-11-01,SPD,ff_longer_run_target,,,,pdf_llm,data_raw/2011-November_result.pdf,data_raw/2011-November_result.pdf,,"No table/question in this PDF reports a 'Longer Run' federal funds rate target (or a '10-yr Average FF Rate' vs 'Longer Run' column). The document contains near-term policy rate probabilities and quarterly projections through Q1 2014, plus other items, but not a longer-run FF rate percentile table."
2012-06-01,SPD,ff_longer_run_target,3.94,4.0,4.0,pdf_llm,data_raw/2012-June_result.pdf,data_raw/2012-June_result.pdf,3.0,
2012-08-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2012-august_result.pdf,data_raw/2012-august_result.pdf,2.0,
2012-09-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2012-September_result.pdf,data_raw/2012-September_result.pdf,3.0,
2012-10-01,SPD,ff_longer_run_target,4.0,4.0,4.0,pdf_llm,data_raw/2012-October_result.pdf,data_raw/2012-October_result.pdf,2.0,
2012-12-01,SPD,ff_longer_run_target,4.0,4.0,4.0,pdf_llm,data_raw/2012-December_result.pdf,data_raw/2012-December_result.pdf,3.0,
2013-01-01,SPD,ff_longer_run_target,4.0,4.0,4.0,pdf_llm,data_raw/2013-January_result.pdf,data_raw/2013-January_result.pdf,2.0,
2013-03-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2013-March_result.pdf,data_raw/2013-March_result.pdf,3.0,
2013-04-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2013-April_result.pdf,data_raw/2013-April_result.pdf,2.0,
2013-06-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2013-June_result.pdf,data_raw/2013-June_result.pdf,2.0,
2013-07-01,SPD,ff_longer_run_target,3.5,4.0,4.0,pdf_llm,data_raw/2013-July_result.pdf,data_raw/2013-July_result.pdf,3.0,
2013-09-01,SPD,ff_longer_run_target,3.5,4.0,4.0,pdf_llm,data_raw/2013-September_result.pdf,data_raw/2013-September_result.pdf,3.0,
2013-10-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2013-October_result.pdf,data_raw/2013-October_result.pdf,3.0,
2013-12-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2013-December_result.pdf,data_raw/2013-December_result.pdf,4.0,
2014-01-01,SPD,ff_longer_run_target,3.75,4.0,4.0,pdf_llm,data_raw/2014-January_result.pdf,data_raw/2014-January_result.pdf,4.0,
2014-03-01,SPD,ff_longer_run_target,3.75,3.75,4.0,pdf_llm,data_raw/2014-March_result.pdf,data_raw/2014-March_result.pdf,4.0,
2014-04-01,SPD,ff_longer_run_target,3.5,3.75,4.0,pdf_llm,data_raw/2014-April_result.pdf,data_raw/2014-April_result.pdf,3.0,
2014-06-01,SPD,ff_longer_run_target,3.5,3.5,4.0,pdf_llm,data_raw/2014-June_result.pdf,data_raw/2014-June_result.pdf,4.0,
2014-07-01,SPD,ff_longer_run_target,3.5,3.5,4.0,pdf_llm,data_raw/2014-July_result.pdf,data_raw/2014-July_result.pdf,4.0,
2014-09-01,SPD,ff_longer_run_target,3.5,3.5,4.0,pdf_llm,data_raw/2014-September_result.pdf,data_raw/2014-September_result.pdf,5.0,
2014-10-01,SPD,ff_longer_run_target,3.5,3.5,4.0,pdf_llm,data_raw/2014-October_result.pdf,data_raw/2014-October_result.pdf,5.0,
2014-12-01,SPD,ff_longer_run_target,3.5,3.5,4.0,pdf_llm,data_raw/2014-December_result.pdf,data_raw/2014-December_result.pdf,5.0,
2015-01-01,SPD,ff_longer_run_target,3.5,3.5,4.0,pdf_llm,data_raw/January-result.pdf,data_raw/January-result.pdf,5.0,
2015-03-01,SPD,ff_longer_run_target,3.25,3.5,3.75,pdf_llm,data_raw/March-result.pdf,data_raw/March-result.pdf,5.0,
2015-04-01,SPD,ff_longer_run_target,3.25,3.5,3.75,pdf_llm,data_raw/April-result.pdf,data_raw/April-result.pdf,5.0,
2015-06-01,SPD,ff_longer_run_target,3.25,3.5,3.75,pdf_llm,data_raw/June-result.pdf,data_raw/June-result.pdf,5.0,
2015-07-01,SPD,ff_longer_run_target,3.25,3.38,3.75,pdf_llm,data_raw/July-result.pdf,data_raw/July-result.pdf,4.0,
2015-09-01,SPD,ff_longer_run_target,3.0,3.38,3.75,pdf_llm,data_raw/Sep-results.pdf,data_raw/Sep-results.pdf,6.0,
2015-12-01,SPD,ff_longer_run_target,3.0,3.25,3.5,pdf_llm,data_raw/Dec-2015-results.pdf,data_raw/Dec-2015-results.pdf,6.0,
2016-01-01,SPD,ff_longer_run_target,2.9,3.25,3.5,pdf_llm,data_raw/jan-2016-results.pdf,data_raw/jan-2016-results.pdf,4.0,
2016-03-01,SPD,ff_longer_run_target,3.0,3.25,3.38,pdf_llm,data_raw/mar-2016-results.pdf,data_raw/mar-2016-results.pdf,4.0,
2016-04-01,SPD,ff_longer_run_target,2.9,3.25,3.25,pdf_llm,data_raw/apr-2016-results.pdf,data_raw/apr-2016-results.pdf,3.0,
2016-06-01,SPD,ff_longer_run_target,3.25,3.25,3.25,pdf_llm,data_raw/jun-2016-results.pdf,data_raw/jun-2016-results.pdf,4.0,
2016-07-01,SPD,ff_longer_run_target,2.63,3.0,3.25,pdf_llm,data_raw/jul-2016-results.pdf,data_raw/jul-2016-results.pdf,4.0,
2016-09-01,SPD,ff_longer_run_target,2.5,3.0,3.0,pdf_llm,data_raw/sep-2016-results.pdf,data_raw/sep-2016-results.pdf,4.0,
2016-11-01,SMP,ff_longer_run_target,2.5,2.5,3.0,pdf_llm,data_raw/Nov-2016-SMP-Results.pdf,data_raw/Nov-2016-SMP-Results.pdf,3.0,
2016-11-01,SPD,ff_longer_run_target,2.5,2.75,3.0,pdf_llm,data_raw/Nov-2016-SPD-Results.pdf,data_raw/Nov-2016-SPD-Results.pdf,4.0,
2016-12-01,SMP,ff_longer_run_target,2.5,2.75,3.0,pdf_llm,data_raw/Dec-2016-Flash-SMP-Results-Public-Release.pdf,data_raw/Dec-2016-Flash-SMP-Results-Public-Release.pdf,4.0,
2016-12-01,SPD,ff_longer_run_target,2.5,2.75,3.0,pdf_llm,data_raw/Dec-2016-SPD-Results-Public-Release.pdf,data_raw/Dec-2016-SPD-Results-Public-Release.pdf,4.0,
2017-01-01,SMP,ff_longer_run_target,2.5,2.81,3.0,pdf_llm,data_raw/Jan-2017-SMP-Results-Public-Release.pdf,data_raw/Jan-2017-SMP-Results-Public-Release.pdf,5.0,
2017-01-01,SPD,ff_longer_run_target,2.5,3.0,3.0,pdf_llm,data_raw/Jan-2017-SPD-Results-Public-Release.pdf,data_raw/Jan-2017-SPD-Results-Public-Release.pdf,5.0,
2017-03-01,SMP,ff_longer_run_target,2.5,2.75,3.25,pdf_llm,data_raw/Mar-2017-SMP-Results-Public-Release.pdf,data_raw/Mar-2017-SMP-Results-Public-Release.pdf,5.0,
