meeting_date,data_vintage_date,horizon,n,p25,p50,p75,source
2020-06-10,2020-06-10,Longer run,16.0,2.34375,2.5,2.5,html
2020-09-16,2020-09-16,Longer run,16.0,2.34375,2.5,2.5,html
2020-12-16,2020-12-16,Longer run,16.0,2.34375,2.5,2.5,html
2021-03-17,2021-03-17,Longer run,17.0,2.25,2.5,2.5,html
2021-06-16,2021-06-16,Longer run,17.0,2.25,2.5,2.5,html
2021-09-22,2021-09-22,Longer run,17.0,2.25,2.5,2.5,html
2021-12-15,2021-12-15,Longer run,17.0,2.25,2.5,2.5,html
2022-06-15,2022-06-15,Longer run,17.0,2.25,2.5,2.5,html
2022-09-21,2022-09-21,Longer run,18.0,2.25,2.5,2.5,html
2022-12-14,2022-12-14,Longer run,18.0,2.375,2.5,2.5,html
2023-03-22,2023-03-22,Longer run,17.0,2.375,2.5,2.5,html
2023-06-14,2023-06-14,Longer run,17.0,2.5,2.5,2.75,html
2023-09-20,2023-09-20,Longer run,18.0,2.5,2.5,2.90625,html
2023-12-13,2023-12-13,Longer run,18.0,2.5,2.5,2.84375,html
2024-03-20,2024-03-20,Longer run,18.0,2.5,2.5625,3.0,html
2024-06-12,2024-06-12,Longer run,19.0,2.5,2.75,3.0625,html
2024-09-18,2024-09-18,Longer run,19.0,2.6875,2.875,3.375,html
2024-12-18,2024-12-18,Longer run,19.0,2.875,3.0,3.5,html
2025-03-19,2025-03-19,Longer run,19.0,2.875,3.0,3.5,html
2025-06-18,2025-06-18,Longer run,19.0,2.875,3.0,3.5,html
2025-09-17,2025-09-17,Longer run,19.0,2.8125,3.0,3.375,html
2025-12-10,2025-12-10,Longer run,19.0,2.9375,3.0,3.375,html
2026-03-18,2026-03-18,Longer run,19.0,3.0,3.125,3.375,html
